Level_Name,difficulty,Win Rate,d,d-1,d-2,d-3,d_avg_3,d_std_3,d_max_3,d_min_3,d_change_1,d_x_d1,d_squared,predicted_stars,predicted_continuous
lv1.json,1,96.83,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,1.0444466503545677
lv2.json,1,97.59,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,1.0444466503545677
lv3.json,1,97.14,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,1.0444466503545677
lv4.json,1,96.34,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,1.0444466503545677
lv5.json,1,91.59,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,1.0444466503545677
lv6.json,2,87.18,2,1.0,1.0,1.0,1.3333333333333333,0.5773502691896258,2.0,1.0,1.0,2.0,4,1,1.127819226641424
lv7.json,2,87.22,2,2.0,1.0,1.0,1.6666666666666667,0.5773502691896258,2.0,1.0,0.0,4.0,4,1,1.172812491405319
lv8.json,2,94.73,2,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,4,1,1.10581388561929
lv9.json,2,94.67,2,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4,1,1.3102100046987009
lv10.json,3,78.49,3,2.0,2.0,2.0,2.3333333333333335,0.5773502691896257,3.0,2.0,1.0,6.0,9,2,1.6713876443959212
lv11.json,2,91.93,2,3.0,2.0,2.0,2.3333333333333335,0.5773502691896257,3.0,2.0,-1.0,6.0,4,1,1.3509418913078999
lv12.json,2,90.71,2,2.0,3.0,2.0,2.3333333333333335,0.5773502691896257,3.0,2.0,0.0,4.0,4,1,1.126369184030482
lv13.json,2,94.84,2,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,4.0,4,1,1.1283408292874262
lv14.json,2,66.12,2,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4,1,1.3102100046987009
lv15.json,1,96.67,1,2.0,2.0,2.0,1.6666666666666667,0.5773502691896258,2.0,1.0,-1.0,2.0,1,1,1.038301637696573
lv16.json,2,82.26,2,1.0,2.0,2.0,1.6666666666666667,0.5773502691896258,2.0,1.0,1.0,2.0,4,1,1.130841707911716
lv17.json,3,68.28,3,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,9,2,1.811412316523388
lv18.json,1,97.09,1,3.0,2.0,1.0,2.0,1.0,3.0,1.0,-2.0,3.0,1,1,1.0
lv19.json,2,93.55,2,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,4,1,1.0413245719527446
lv20.json,3,86.55,3,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,6.0,9,1,1.4879687361680316
lv21.json,1,98.39,1,3.0,2.0,1.0,2.0,1.0,3.0,1.0,-2.0,3.0,1,1,1.0
lv22.json,3,82.4,3,1.0,3.0,2.0,2.3333333333333335,1.1547005383792515,3.0,1.0,2.0,3.0,9,1,1.2957136578995714
lv23.json,3,57.14,3,3.0,1.0,3.0,2.3333333333333335,1.1547005383792515,3.0,1.0,0.0,9.0,9,2,2.3038207391185948
lv24.json,2,95.85,2,3.0,3.0,1.0,2.6666666666666665,0.5773502691896255,3.0,2.0,-1.0,6.0,4,1,1.0689078479285707
lv25.json,2,95.73,2,2.0,3.0,3.0,2.3333333333333335,0.5773502691896255,3.0,2.0,0.0,4.0,4,1,1.0
lv26.json,3,85.96,3,2.0,2.0,3.0,2.3333333333333335,0.5773502691896255,3.0,2.0,1.0,6.0,9,1,1.2654163671824457
lv27.json,2,77.91,2,3.0,2.0,2.0,2.3333333333333335,0.5773502691896255,3.0,2.0,-1.0,6.0,4,1,1.3509418913078999
lv28.json,3,75.29,3,2.0,3.0,2.0,2.6666666666666665,0.5773502691896255,3.0,2.0,1.0,6.0,9,2,1.6613698400582981
lv29.json,4,86.8,4,3.0,2.0,3.0,3.0,0.9999999999999998,4.0,2.0,1.0,12.0,16,1,1.2241386986880767
lv30.json,1,94.44,1,4.0,3.0,2.0,2.6666666666666665,1.5275252316519465,4.0,1.0,-3.0,4.0,1,1,1.0503056524484573
lv31.json,2,94.93,2,1.0,4.0,3.0,2.3333333333333335,1.5275252316519465,4.0,1.0,1.0,2.0,4,1,1.0091960189653708
lv32.json,3,73.56,3,2.0,1.0,4.0,2.0,0.9999999999999997,3.0,1.0,1.0,6.0,9,2,1.7845496310797915
lv33.json,3,81.32,3,3.0,2.0,1.0,2.6666666666666665,0.5773502691896253,3.0,2.0,0.0,9.0,9,1,1.274274596685427
lv34.json,4,88.17,4,3.0,3.0,2.0,3.3333333333333335,0.5773502691896253,4.0,3.0,1.0,12.0,16,1,1.1493398476707841
lv35.json,2,98.0,2,4.0,3.0,3.0,3.0,0.9999999999999997,4.0,2.0,-2.0,8.0,4,1,1.0698380025795227
lv36.json,3,89.19,3,2.0,4.0,3.0,3.0,0.9999999999999997,4.0,2.0,1.0,6.0,9,1,1.0675619497311588
lv37.json,2,96.58,2,3.0,2.0,4.0,2.3333333333333335,0.5773502691896253,3.0,2.0,-1.0,6.0,4,1,1.129336434023539
lv38.json,3,62.96,3,2.0,3.0,2.0,2.6666666666666665,0.5773502691896253,3.0,2.0,1.0,6.0,9,2,1.6613698400582981
lv39.json,3,96.85,3,3.0,2.0,3.0,2.6666666666666665,0.5773502691896253,3.0,2.0,0.0,9.0,9,1,1.4279874549190237
lv40.json,3,95.0,3,3.0,3.0,2.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.1093971540272585
lv41.json,3,82.68,3,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,9.0,9,1,1.2230962777282606
