Level_Name,difficulty,Win Rate,d,d-1,d-2,d-3,predicted_win_rate_star,predicted_difficulty,difficulty_error
lv1.json,1,96.83,1,,,,,1,
lv2.json,1,97.59,1,1.0,,,,1,
lv3.json,1,97.14,1,1.0,1.0,,,1,
lv4.json,1,96.34,1,1.0,1.0,1.0,1.1715299999999997,1,0
lv5.json,1,91.59,1,1.0,1.0,1.0,1.1715299999999997,1,0
lv6.json,2,87.18,2,1.0,1.0,1.0,1.271661,1,1
lv7.json,2,87.22,2,2.0,1.0,1.0,1.269994,1,1
lv8.json,2,94.73,2,2.0,2.0,1.0,1.023972,1,1
lv9.json,2,94.67,2,2.0,2.0,2.0,1.251544,1,1
lv10.json,3,78.49,3,2.0,2.0,2.0,1.3516750000000002,1,2
lv11.json,2,91.93,2,3.0,2.0,2.0,1.249877,1,1
lv12.json,2,90.71,2,2.0,3.0,2.0,1.005522,1,1
lv13.json,2,94.84,2,2.0,2.0,3.0,1.4791159999999999,1,1
lv14.json,2,66.12,2,2.0,2.0,2.0,1.251544,1,1
lv15.json,1,96.67,1,2.0,2.0,2.0,1.151413,1,0
lv16.json,2,82.26,2,1.0,2.0,2.0,1.2532109999999999,1,1
lv17.json,3,68.28,3,2.0,1.0,2.0,1.5976970000000001,2,1
lv18.json,1,97.09,1,3.0,2.0,1.0,1.0,1,0
lv19.json,2,93.55,2,1.0,3.0,2.0,1.007189,1,1
lv20.json,3,86.55,3,2.0,1.0,3.0,1.825269,2,1
lv21.json,1,98.39,1,3.0,2.0,1.0,1.0,1,0
lv22.json,3,82.40,3,1.0,3.0,2.0,1.10732,1,2
lv23.json,3,57.14,3,3.0,1.0,3.0,1.8236020000000002,2,1
lv24.json,2,95.85,2,3.0,3.0,1.0,1.0,1,1
lv25.json,2,95.73,2,2.0,3.0,3.0,1.233094,1,1
lv26.json,3,85.96,3,2.0,2.0,3.0,1.579247,2,1
lv27.json,2,77.91,2,3.0,2.0,2.0,1.249877,1,1
lv28.json,3,75.29,3,2.0,3.0,2.0,1.1056530000000002,1,2
lv29.json,4,86.80,4,3.0,2.0,3.0,1.677711,2,2
lv30.json,1,94.44,1,4.0,3.0,2.0,1.0,1,0
lv31.json,2,94.93,2,1.0,4.0,3.0,1.0,1,1
lv32.json,3,73.56,3,2.0,1.0,4.0,2.052841,2,1
lv33.json,3,81.32,3,3.0,2.0,1.0,1.122436,1,2
lv34.json,4,88.17,4,3.0,3.0,2.0,1.2041169999999997,1,3
lv35.json,2,98.00,2,4.0,3.0,3.0,1.22976,1,1
lv36.json,3,89.19,3,2.0,4.0,3.0,1.0872030000000001,1,2
lv37.json,2,96.58,2,3.0,2.0,4.0,1.705021,2,0
lv38.json,3,62.96,3,2.0,3.0,2.0,1.1056530000000002,1,2
lv39.json,3,96.85,3,3.0,2.0,3.0,1.5775800000000002,2,1
lv40.json,3,95.00,3,3.0,3.0,2.0,1.103986,1,2
lv41.json,3,82.68,3,3.0,3.0,3.0,1.331558,1,2
lv42.json,3,94.46,3,3.0,3.0,3.0,1.331558,1,2
lv43.json,3,69.57,3,3.0,3.0,3.0,1.331558,1,2
lv44.json,2,85.34,2,3.0,3.0,3.0,1.2314269999999998,1,1
lv45.json,3,86.73,3,2.0,3.0,3.0,1.333225,1,2
lv46.json,2,83.54,2,3.0,2.0,3.0,1.477449,1,1
lv47.json,3,69.19,3,2.0,3.0,2.0,1.1056530000000002,1,2
lv48.json,3,63.55,3,3.0,2.0,3.0,1.5775800000000002,2,1
lv49.json,3,85.01,3,3.0,3.0,2.0,1.103986,1,2
lv50.json,3,84.92,3,3.0,3.0,3.0,1.331558,1,2
