Level_Name,total_arrows,total_edges,max_in_degree,edges_per_arrow,dependency_density,has_cycle_bool,critical_nodes,critical_edges,avg_row_blockers,avg_col_blockers,crowded_rows,crowded_cols,PC1_raw,DifficultyScore_0_10,kmeans_cluster,DifficultyLabel,is_outlier_if_1
lv0.json,3,0,0,0.0,0.0,0,1,0,3.0,1.0,4,0,-6.689545430225259,0.03789633420688931,3,1,1
lv1.json,3,0,0,0.0,0.0,0,1,0,3.0,1.0,4,0,-6.689545430225261,0.03789633420688777,3,1,1
lv2.json,5,5,2,1.0,0.25,0,4,3,3.6,2.0,5,3,-6.733249148118841,0.0,4,2,1
lv3.json,7,8,3,1.142857143,0.1904761905,0,5,7,3.714285714,3.142857143,7,6,-5.8401935127238325,0.774385714887779,4,2,0
lv4.json,10,16,7,1.6,0.1777777778,0,5,7,5.333333333,3.555555556,9,7,-4.8948978572064625,1.5940697557978933,4,2,0
lv5.json,15,38,6,2.533333333,0.180952381,0,9,19,3.285714286,7.3,12,10,-3.771866558426576,2.5678717908327586,4,2,0
lv6.json,20,43,6,2.15,0.1131578947,0,9,11,5.857142857,5.909090909,14,11,-3.238583989103669,3.0302913617026643,1,3,0
lv7.json,32,70,8,2.1875,0.07056451613,0,7,11,5.3125,6.125,14,15,-2.5408336993494594,3.6353240556685624,1,3,0
lv8.json,20,43,7,2.15,0.1131578947,0,8,16,3.928571429,7.4,14,10,-3.325290281882681,2.9551066678742157,1,3,0
lv9.json,26,42,5,1.615384615,0.06461538462,0,6,8,5.55,8.6,20,15,-2.5973461829328253,3.5863209944198284,1,3,0
lv10.json,43,119,8,2.76744186,0.06589147287,0,16,28,7.0,8.0625,13,14,-1.0332071012859383,4.942616070469923,1,3,0
lv11.json,21,43,7,2.047619048,0.1023809524,0,11,18,6.066666667,5.923076923,15,13,-2.801189312961177,3.409564696474127,1,3,0
lv12.json,32,70,4,2.1875,0.07056451613,0,15,26,6.05,8.733333333,20,15,-1.613964626940751,4.4390300520224395,1,3,0
lv13.json,24,59,7,2.458333333,0.106884058,0,12,27,6.058823529,6.642857143,17,14,-2.200618443562246,3.9303312462922233,1,3,0
lv14.json,34,113,15,3.323529412,0.1007130125,0,16,45,6.314285714,9.625,34,20,0.7798466960350177,6.514749883104547,2,4,0
lv15.json,6,3,2,0.5,0.1,0,2,1,3.428571429,2.5,6,5,-6.154445942350966,0.5018913900919986,3,1,1
lv16.json,27,68,9,2.518518519,0.09686609687,0,17,40,5.8,7.538461538,15,13,-1.6560799906115944,4.402511010306098,1,3,0
lv17.json,35,98,18,2.8,0.08235294118,0,9,15,6.24137931,12.24137931,27,27,0.4938305591930759,6.266739790765987,2,4,0
lv18.json,14,26,5,1.857142857,0.1428571429,0,5,8,4.083333333,6.0,11,9,-4.373372853255214,2.0462941156363565,4,2,0
lv19.json,27,84,9,3.111111111,0.1196581197,0,15,29,6.111111111,8.2,18,15,-1.3575116471745554,4.661405362361875,1,3,0
lv20.json,47,131,10,2.787234043,0.0605920444,0,13,23,7.32,10.88235294,25,17,0.09047968388790958,5.916986490361978,2,4,0
lv21.json,14,28,6,2.0,0.1538461538,0,9,14,4.818181818,4.818181818,10,11,-4.034649631237913,2.340007535086355,4,2,0
lv22.json,50,160,14,3.2,0.06530612245,0,12,17,6.956521739,10.5,20,16,0.117343112130327,5.940280285574009,2,4,0
lv23.json,41,120,14,2.926829268,0.07317073171,0,15,37,5.833333333,8.321428571,19,24,0.04117594674081959,5.874234271772147,2,4,0
lv24.json,32,53,7,1.65625,0.05342741935,0,8,11,6.4,8.0,20,15,-2.1004977749755245,4.017147803341636,1,3,0
lv25.json,40,115,13,2.875,0.07371794872,0,14,25,6.454545455,9.6,19,15,-0.5107474828563859,5.395650852495136,2,4,0
lv26.json,25,61,7,2.44,0.1016666667,0,13,23,7.444444444,6.142857143,18,14,-1.9803911284461617,4.121294586194953,1,3,0
lv27.json,44,147,10,3.340909091,0.07769556025,0,15,43,8.272727273,8.941176471,22,17,0.3332454420630706,6.1274933476549105,2,4,0
lv28.json,32,92,8,2.875,0.09274193548,0,14,37,7.09375,5.846153846,31,23,-0.3109767030163329,5.5688759372813745,2,4,0
lv29.json,42,124,12,2.952380952,0.07200929152,0,17,34,7.173913043,8.277777778,23,18,0.061509411973923095,5.891865810487782,2,4,0
