Metric,Value
total_arrows,20
total_dependencies,61
max_in_degree,5
edges_per_arrow,3.05
dependency_density,0.16052631578947368
has_cycle_bool,True
approx_max_dependency_depth_nodes,18
scc_scc_count,5
scc_scc_max_size,15
scc_scc_avg_size,4.0
scc_scc_sizes,"[15, 2, 1, 1, 1]"
scc_sizes,"[15, 2, 1, 1, 1]"
deadlock_severity_total,10137
deadlock_details,"[{""scc_index"": 1, ""size"": 2, ""internal_edges"": 2, ""severity"": 12, ""members"": [1, 19]}, {""scc_index"": 3, ""size"": 15, ""internal_edges"": 44, ""severity"": 10125, ""members"": [0, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18]}]"
max_row_blockers,5
max_col_blockers,8
avg_row_blockers,3.9285714285714284
avg_col_blockers,7.4
crowded_rows,14
crowded_cols,10
critical_longest_nodes,18
critical_chain_scc_indices,"[4, 3, 1]"
critical_edges_on_chain,55
